"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1940","Verify that a pet can be retrieved successfully by its ID.","PetstoreAPISuite","Sun Jun 29 17:03:51 CEST 2025","passed","Sun Jun 29 17:03:53 CEST 2025","tests.PetsTests","PetEndpointsTests","tests.PetsTests","testGetPet"
"","2814","Verify that an existing pet's details can be updated successfully.","PetstoreAPISuite","Sun Jun 29 17:03:58 CEST 2025","passed","Sun Jun 29 17:04:01 CEST 2025","tests.PetsTests","PetEndpointsTests","tests.PetsTests","testUpdatePet"
"","2406","Verify that a pet can be created successfully","PetstoreAPISuite","Sun Jun 29 17:03:46 CEST 2025","passed","Sun Jun 29 17:03:49 CEST 2025","tests.PetsTests","PetEndpointsTests","tests.PetsTests","testCreatePet"
"","2201","Verify that an existing pet can be deleted successfully.","PetstoreAPISuite","Sun Jun 29 17:03:49 CEST 2025","passed","Sun Jun 29 17:03:51 CEST 2025","tests.PetsTests","PetEndpointsTests","tests.PetsTests","testDeletePet"
